Page Title,Column1,Column2,Column3,Column4,Column5,Column6,Column7
Medal winners Melbourne 1956,"3,000 metres Steeplechase, Men",Chris Brasher,GBR,Sándor Rozsnyói,HUN,Ernst Larsen,NOR
Medal winners Melbourne 1956,"4 × 100 metres Relay, Men",United States,USA,Soviet Union,URS,Unified Team of Germany,GER
Medal winners Melbourne 1956,"4 × 400 metres Relay, Men",United States,USA,Australia,AUS,Great Britain,GBR
Medal winners Melbourne 1956,"20 kilometres Race Walk, Men",Leonid Spirin,URS,Antanas Mikėnas,URS,Bruno Junk,URS
Medal winners Melbourne 1956,"50 kilometres Race Walk, Men",Norman Read,NZL,Yevgeny Maskinskov,URS,John Ljunggren,SWE
Medal winners Melbourne 1956,"High Jump, Men",Charlie Dumas,USA,Charles Porter,AUS,Igor Kashkarov,URS
Medal winners Melbourne 1956,"Pole Vault, Men",Bob Richards,USA,Bob Gutowski,USA,Georgios Roumpanis,GRE
Medal winners Melbourne 1956,"Long Jump, Men",Greg Bell,USA,John Bennett,USA,Jorma Valkama,FIN
Medal winners Melbourne 1956,"Triple Jump, Men",Adhemar da Silva,BRA,Vilhjálmur Einarsson,ISL,Vitold Kreyer,URS
Medal winners Melbourne 1956,"Shot Put, Men",Parry O'Brien,USA,Bill Nieder,USA,Jiří Skobla,TCH
Medal winners Melbourne 1956,"Discus Throw, Men",Al Oerter,USA,Fortune Gordien,USA,Des Koch,USA
Medal winners Melbourne 1956,"Hammer Throw, Men",Hal Connolly,USA,Mikhail Krivonosov,URS,Anatoly Samotsvetov,URS
Medal winners Melbourne 1956,"Javelin Throw, Men",Egil Danielsen,NOR,Janusz Sidło,POL,Viktor Tsybulenko,URS
Medal winners Melbourne 1956,"Decathlon, Men",Milt Campbell,USA,Rafer Johnson,USA,Vasily Kuznetsov,URS
Medal winners Melbourne 1956,"100 metres, Women",Betty Cuthbert,AUS,Christa Stubnick,GER,Marlene Mathews,AUS
Medal winners Melbourne 1956,"200 metres, Women",Betty Cuthbert,AUS,Christa Stubnick,GER,Marlene Mathews,AUS
Medal winners Melbourne 1956,"80 metres Hurdles, Women",Shirley Strickland de la Hunty,AUS,Gisela Köhler,GER,Norma Thrower,AUS
Medal winners Melbourne 1956,"4 × 100 metres Relay, Women",Australia,AUS,Great Britain,GBR,United States,USA
Medal winners Melbourne 1956,"High Jump, Women",Millie McDaniel,USA,Thelma HopkinsMariya Pisareva,GBRURS,—,—
Medal winners Melbourne 1956,"Long Jump, Women",Elżbieta Krzesińska,POL,Willye White,USA,Nadezhda Dvalishvili,URS
Medal winners Melbourne 1956,"Shot Put, Women",Tamara Tyshkevich,URS,Galina Zybina,URS,Marianne Werner,GER
Medal winners Melbourne 1956,"Discus Throw, Women",Olga Fikotová,TCH,Irina Beglyakova,URS,Nina Romashkova-Ponomaryova,URS
Medal winners Melbourne 1956,"Javelin Throw, Women",Inese Jaunzeme,URS,Marlene Ahrens,CHI,Nadezhda Konyayeva,URS
Medal winners Melbourne 1956,Basketball,,,,,,
Medal winners Melbourne 1956,"Basketball, Men",United States,USA,Soviet Union,URS,Uruguay,URU
Medal winners Melbourne 1956,Boxing,,,,,,
Medal winners Melbourne 1956,"Flyweight, Men",Terry Spinks,GBR,Mircea Dobrescu,ROU,René LibeerJohnny Caldwell,FRAIRL
Medal winners Melbourne 1956,"Bantamweight, Men",Wolfgang Behrendt,GER,Song Sun-Cheon,KOR,Claudio BarrientosFreddie Gilroy,CHIIRL
Medal winners Melbourne 1956,"Featherweight, Men",Vladimir Safronov,URS,Tommy Nicholls,GBR,Pentti HämäläinenHenryk Niedźwiedzki,FINPOL
Medal winners Melbourne 1956,"Lightweight, Men",Dick McTaggart,GBR,Harry Kurschat,GER,Tony ByrneAnatoly Lagetko,IRLURS
Medal winners Melbourne 1956,"Light-Welterweight, Men",Vladimir Engibaryan,URS,Franco Nenci,ITA,Constantin DumitrescuHenry Loubscher,ROURSA
Medal winners Melbourne 1956,"Welterweight, Men",Nicolae Linca,ROU,Fred Tiedt,IRL,Kevin HogarthNicky Gargano,AUSGBR
Medal winners Melbourne 1956,"Light-Middleweight, Men",László Papp,HUN,José Torres,USA,John McCormackZbigniew Pietrzykowski,GBRPOL
Medal winners Melbourne 1956,"Middleweight, Men",Gennady Shatkov,URS,Ramón Tapia,CHI,Víctor ZalazarGilbert Chapron,ARGFRA
Medal winners Melbourne 1956,"Light-Heavyweight, Men",Jim Boyd,USA,Gheorghe Negrea,ROU,Carlos LucasRomualdas Murauskas,CHIURS
Medal winners Melbourne 1956,"Heavyweight, Men",Pete Rademacher,USA,Lev Mukhin,URS,Mino BozzanoDaan Bekker,ITARSA
Medal winners Melbourne 1956,Canoe Marathon,,,,,,
Medal winners Melbourne 1956,"Kayak Singles, 10,000 metres, Men",Gert Fredriksson,SWE,Ferenc Hatlaczky,HUN,Michel Scheuer,GER
Medal winners Melbourne 1956,"Kayak Doubles, 10,000 metres, Men",Hungary,HUN,Unified Team of Germany,GER,Australia,AUS
Medal winners Melbourne 1956,"Canadian Singles, 10,000 metres, Men",Leon Rotman,ROU,János Parti,HUN,Gennady Bukharin,URS
Medal winners Melbourne 1956,"Canadian Doubles, 10,000 metres, Men",Soviet Union,URS,France,FRA,Hungary,HUN
Medal winners Melbourne 1956,Canoe Sprint,,,,,,
Medal winners Melbourne 1956,"Kayak Singles, 1,000 metres, Men",Gert Fredriksson,SWE,Igor Pisarev,URS,Lajos Kiss,HUN
Medal winners Melbourne 1956,"Kayak Doubles, 1,000 metres, Men",Unified Team of Germany,GER,Soviet Union,URS,Austria,AUT
Medal winners Melbourne 1956,"Canadian Singles, 1,000 metres, Men",Leon Rotman,ROU,István Hernek,HUN,Gennady Bukharin,URS
Medal winners Melbourne 1956,"Canadian Doubles, 1,000 metres, Men",Romania,ROU,Soviet Union,URS,Hungary,HUN
Medal winners Melbourne 1956,"Kayak Singles, 500 metres, Women",Yelizaveta Dementyeva,URS,Therese Zenz,GER,Tove Søby,DEN
Medal winners Melbourne 1956,Cycling Road,,,,,,
Medal winners Melbourne 1956,"Road Race, Individual, Men",Ercole Baldini,ITA,Arnaud Geyre,FRA,Alan Jackson,GBR
Medal winners Melbourne 1956,"Road Race, Team, Men",France,FRA,Great Britain,GBR,Unified Team of Germany,GER
Medal winners Melbourne 1956,Cycling Track,,,,,,
Medal winners Melbourne 1956,"Sprint, Men",Michel Rousseau,FRA,Guglielmo Pesenti,ITA,Dick Ploog,AUS
Medal winners Melbourne 1956,"1,000 metres Time Trial, Men",Leandro Faggin,ITA,Ladislav Fouček,TCH,Jimmy Swift,RSA
Medal winners Melbourne 1956,"Tandem Sprint, 2,000 metres, Men",Australia,AUS,Czechoslovakia,TCH,Italy,ITA
Medal winners Melbourne 1956,"Team Pursuit, 4,000 metres, Men",Italy,ITA,France,FRA,Great Britain,GBR
Medal winners Melbourne 1956,Diving,,,,,,
Medal winners Melbourne 1956,"Springboard, Men",Bob Clotworthy,USA,Don Harper,USA,Joaquín Capilla,MEX
Medal winners Melbourne 1956,"Platform, Men",Joaquín Capilla,MEX,Gary Tobian,USA,Dick Conner,USA
Medal winners Melbourne 1956,"Springboard, Women",Pat McCormick,USA,Jeanne Stunyo,USA,Irene MacDonald,CAN
Medal winners Melbourne 1956,"Platform, Women",Pat McCormick,USA,Juno Irwin,USA,Paula Jean Myers,USA
Medal winners Melbourne 1956,Fencing,,,,,,
Medal winners Melbourne 1956,"Foil, Individual, Men",Christian d'Oriola,FRA,Giancarlo Bergamini,ITA,Antonio Spallino,ITA
Medal winners Melbourne 1956,"Foil, Team, Men",Italy,ITA,France,FRA,Hungary,HUN
Medal winners Melbourne 1956,"Épée, Individual, Men",Carlo Pavesi,ITA,Giuseppe Delfino,ITA,Edoardo Mangiarotti,ITA
Medal winners Melbourne 1956,"Épée, Team, Men",Italy,ITA,Hungary,HUN,France,FRA
Medal winners Melbourne 1956,"Sabre, Individual, Men",Rudolf Kárpáti,HUN,Jerzy Pawłowski,POL,Lev Kuznetsov,URS
Medal winners Melbourne 1956,"Sabre, Team, Men",Hungary,HUN,Poland,POL,Soviet Union,URS
Medal winners Melbourne 1956,"Foil, Individual, Women",Gillian Sheen,GBR,Olga Orban,ROU,Renée Garilhe,FRA
Medal winners Melbourne 1956,Football,,,,,,
Medal winners Melbourne 1956,"Football, Men",Soviet Union,URS,Yugoslavia,YUG,Bulgaria,BUL
Medal winners Melbourne 1956,Hockey,,,,,,
Medal winners Melbourne 1956,"Hockey, Men",India,IND,Pakistan,PAK,Unified Team of Germany,GER
Medal winners Melbourne 1956,Modern Pentathlon,,,,,,
Medal winners Melbourne 1956,"Individual, Men",Lars Hall,SWE,Ole Mannonen,FIN,Wäinö Korhonen,FIN
Medal winners Melbourne 1956,"Team, Men",Soviet Union,URS,United States,USA,Finland,FIN
Medal winners Melbourne 1956,Rowing,,,,,,
Medal winners Melbourne 1956,"Single Sculls, Men",Vyacheslav Ivanov,URS,Stuart MacKenzie,AUS,"Jack Kelly, Jr.",USA
Medal winners Melbourne 1956,"Double Sculls, Men",Soviet Union,URS,United States,USA,Australia,AUS
Medal winners Melbourne 1956,"Coxless Pairs, Men",United States,USA,Soviet Union,URS,Austria,AUT
Medal winners Melbourne 1956,"Coxed Pairs, Men",United States,USA,Unified Team of Germany,GER,Soviet Union,URS
Medal winners Melbourne 1956,"Coxless Fours, Men",Canada,CAN,United States,USA,France,FRA
Medal winners Melbourne 1956,"Coxed Fours, Men",Italy,ITA,Sweden,SWE,Finland,FIN
Medal winners Melbourne 1956,"Eights, Men",United States,USA,Canada,CAN,Australia,AUS
Medal winners Melbourne 1956,Sailing,,,,,,
Medal winners Melbourne 1956,"One Person Dinghy, Open",Paul Elvstrøm,DEN,André Nelis,BEL,John Marvin,USA
Medal winners Melbourne 1956,"Two Person Keelboat, Open",Kathleen,USA,Merope III,ITA,Gem IV,BAH
Medal winners Melbourne 1956,"Three Person Keelboat, Open",Slaghoken II,SWE,Tip,DEN,Bluebottle,GBR
Medal winners Melbourne 1956,"Two Person Heavyweight Dinghy, Open",Jest,NZL,Falcon IV,AUS,Chuckles,GBR
Medal winners Melbourne 1956,"5.5 metres, Open",Rush V,SWE,Vision,GBR,Buraddoo,AUS
Medal winners Melbourne 1956,Shooting,,,,,,
Medal winners Melbourne 1956,"Rapid-Fire Pistol, 25 metres, Men",Ștefan Petrescu,ROU,Yevgeny Cherkasov,URS,Gheorghe Lichiardopol,ROU
Medal winners Melbourne 1956,"Free Pistol, 50 metres, Men",Pentti Linnosvuo,FIN,Makhmud Umarov,URS,Offutt Pinion,USA
Medal winners Melbourne 1956,"Free Rifle, Three Positions, 300 metres, Men",Vasily Borisov,URS,Allan Erdman,URS,Vilho Ylönen,FIN
Medal winners Melbourne 1956,"Small-Bore Rifle, Three Positions, 50 metres, Men",Anatoly Bogdanov,URS,Otakar Hořínek,TCH,John Sundberg,SWE
Medal winners Melbourne 1956,"Small-Bore Rifle, Prone, 50 metres, Men",Gerry Ouellette,CAN,Vasily Borisov,URS,Gil Boa,CAN
Medal winners Melbourne 1956,"Running Target, Single and Double Shot, Men",Vitaly Romanenko,URS,Olof Sköldberg,SWE,Vladimir Sevryugin,URS
Medal winners Melbourne 1956,"Trap, Men",Galliano Rossini,ITA,Adam Smelczyński,POL,Alessandro Ciceri,ITA
Medal winners Melbourne 1956,Swimming,,,,,,
Medal winners Melbourne 1956,"100 metres Freestyle, Men",Jon Henricks,AUS,John Devitt,AUS,Gary Chapman,AUS
Medal winners Melbourne 1956,"400 metres Freestyle, Men",Murray Rose,AUS,Tsuyoshi Yamanaka,JPN,George Breen,USA
Medal winners Melbourne 1956,"1,500 metres Freestyle, Men",Murray Rose,AUS,Tsuyoshi Yamanaka,JPN,George Breen,USA
Medal winners Melbourne 1956,"4 × 200 metres Freestyle Relay, Men",Australia,AUS,United States,USA,Soviet Union,URS
Medal winners Melbourne 1956,"100 metres Backstroke, Men",David Theile,AUS,John Monckton,AUS,Frank McKinney,USA
Medal winners Melbourne 1956,"200 metres Breaststroke, Men",Masaru Furukawa,JPN,Masahiro Yoshimura,JPN,Kharis Yunichev,URS
Medal winners Melbourne 1956,"200 metres Butterfly, Men",Bill Yorzyk,USA,Takashi Ishimoto,JPN,György Tumpek,HUN
Medal winners Melbourne 1956,"100 metres Freestyle, Women",Dawn Fraser,AUS,Lorraine Crapp,AUS,Faith Leech,AUS
Medal winners Melbourne 1956,"400 metres Freestyle, Women",Lorraine Crapp,AUS,Dawn Fraser,AUS,Sylvia Ruuska,USA
Medal winners Melbourne 1956,"4 × 100 metres Freestyle Relay, Women",Australia,AUS,United States,USA,South Africa,RSA
Medal winners Melbourne 1956,"100 metres Backstroke, Women",Judith Grinham,GBR,Carin Cone,USA,Margaret Edwards,GBR
Medal winners Melbourne 1956,"200 metres Breaststroke, Women",Ursula Happe,GER,Éva Székely,HUN,Eva-Maria ten Elsen,GER
Medal winners Melbourne 1956,"100 metres Butterfly, Women",Shelley Mann,USA,Nancy Ramey,USA,Mary Sears,USA
Medal winners Melbourne 1956,Water Polo,,,,,,
Medal winners Melbourne 1956,"Water Polo, Men",Hungary,HUN,Yugoslavia,YUG,Soviet Union,URS
Medal winners Melbourne 1956,Weightlifting,,,,,,
Medal winners Melbourne 1956,"Bantamweight, Men",Chuck Vinci,USA,Vladimir Stogov,URS,Mahmoud Namdjou,IRI
Medal winners Melbourne 1956,"Featherweight, Men",Ike Berger,USA,Yevgeny Minayev,URS,Marian Zieliński,POL
Medal winners Melbourne 1956,"Lightweight, Men",Igor Rybak,URS,Ravil Khabutdinov,URS,Kim Chang-Hui,KOR
Medal winners Melbourne 1956,"Middleweight, Men",Fyodor Bogdanovsky,URS,Pete George,USA,Ermanno Pignatti,ITA
Medal winners Melbourne 1956,"Light-Heavyweight, Men",Tommy Kono,USA,Vasīlijs Stepanovs,URS,Jim George,USA
Medal winners Melbourne 1956,"Middle-Heavyweight, Men",Arkady Vorobyov,URS,Dave Sheppard,USA,Jean Debuf,FRA
Medal winners Melbourne 1956,"Heavyweight, Men",Paul Anderson,USA,Humberto Selvetti,ARG,Alberto Pigaiani,ITA
Medal winners Melbourne 1956,Wrestling,,,,,,
Medal winners Melbourne 1956,"Flyweight, Greco-Roman, Men",Nikolay Solovyov,URS,Ignazio Fabra,ITA,Dursun Ali Eğribaş,TUR
Medal winners Melbourne 1956,"Bantamweight, Greco-Roman, Men",Konstantin Vyrupayev,URS,Edvin Vesterby,SWE,Francisc Horvath,ROU
Medal winners Melbourne 1956,"Featherweight, Greco-Roman, Men",Rauno Mäkinen,FIN,Imre Polyák,HUN,Roman Dzeneladze,URS
Medal winners Melbourne 1956,"Lightweight, Greco-Roman, Men",Kyösti Lehtonen,FIN,Rıza Doğan,TUR,Gyula Tóth,HUN
Medal winners Melbourne 1956,"Welterweight, Greco-Roman, Men",Mithat Bayrak,TUR,Vladimir Maneyev,URS,Per Berlin,SWE
Medal winners Melbourne 1956,"Middleweight, Greco-Roman, Men",Givi K'art'ozia,URS,Dimitar Dobrev,BUL,Rune Jansson,SWE
Medal winners Melbourne 1956,"Light-Heavyweight, Greco-Roman, Men",Valentin Nikolayev,URS,Petko Sirakov,BUL,Karl-Erik Nilsson,SWE
Medal winners Melbourne 1956,"Heavyweight, Greco-Roman, Men",Anatoly Parfyonov,URS,Wilfried Dietrich,GER,Adelmo Bulgarelli,ITA
Medal winners Melbourne 1956,"Flyweight, Freestyle, Men",Mirian Tsalkalamanidze,URS,Mohamed Ali Khojastehpour,IRI,Hüseyin Akbaş,TUR
Medal winners Melbourne 1956,"Bantamweight, Freestyle, Men",Mustafa Dağıstanlı,TUR,Mohamed Mehdi Yaghoubi,IRI,Mikhail Shakhov,URS
Medal winners Melbourne 1956,"Featherweight, Freestyle, Men",Shozo Sasahara,JPN,Jef Mewis,BEL,Erkki Penttilä,FIN
Medal winners Melbourne 1956,"Lightweight, Freestyle, Men",Emam Ali Habibi,IRI,Shigeru Kasahara,JPN,Alimbeg Bestayev,URS
Medal winners Melbourne 1956,"Welterweight, Freestyle, Men",Mitsuo Ikeda,JPN,İbrahim Zengin,TUR,Vakht'ang Balavadze,URS
Medal winners Melbourne 1956,"Middleweight, Freestyle, Men",Nikola Stanchev,BUL,Dan Hodge,USA,Giorgi Skhirt'ladze,URS
Medal winners Melbourne 1956,"Light-Heavyweight, Freestyle, Men",Gholam Reza Takhti,IRI,Boris Kulayev,URS,Pete Blair,USA
Medal winners Melbourne 1956,"Heavyweight, Freestyle, Men",Hamit Kaplan,TUR,Yusein Mehmedov,BUL,Taisto Kangasniemi,FIN
Medal winners Roma 1960,Artistic Gymnastics,,,,,,
Medal winners Roma 1960,"Individual All-Around, Men",Boris Shakhlin,URS,Takashi Ono,JPN,Yury Titov,URS
Medal winners Roma 1960,"Team All-Around, Men",Japan,JPN,Soviet Union,URS,Italy,ITA
Medal winners Roma 1960,"Floor Exercise, Men",Nobuyuki Aihara,JPN,Yury Titov,URS,Franco Menichelli,ITA
Medal winners Roma 1960,"Horse Vault, Men",Takashi OnoBoris Shakhlin,JPNURS,—,—,Vladimir Portnoy,URS
Medal winners Roma 1960,"Parallel Bars, Men",Boris Shakhlin,URS,Giovanni Carminucci,ITA,Takashi Ono,JPN
Medal winners Roma 1960,"Horizontal Bar, Men",Takashi Ono,JPN,Masao Takemoto,JPN,Boris Shakhlin,URS
Medal winners Roma 1960,"Rings, Men",Albert Azaryan,URS,Boris Shakhlin,URS,Velik KapsazovTakashi Ono,BULJPN
Medal winners Roma 1960,"Pommelled Horse, Men",Eugen EkmanBoris Shakhlin,FINURS,—,—,Shuji Tsurumi,JPN
Medal winners Roma 1960,"Individual All-Around, Women",Larisa Latynina,URS,Sofya Muratova,URS,Polina Astakhova,URS
Medal winners Roma 1960,"Team All-Around, Women",Soviet Union,URS,Czechoslovakia,TCH,Romania,ROU
Medal winners Roma 1960,"Floor Exercise, Women",Larisa Latynina,URS,Polina Astakhova,URS,Tamara Lyukhina,URS
Medal winners Roma 1960,"Horse Vault, Women",Margarita Nikolayeva,URS,Sofya Muratova,URS,Larisa Latynina,URS
Medal winners Roma 1960,"Uneven Bars, Women",Polina Astakhova,URS,Larisa Latynina,URS,Tamara Lyukhina,URS
Medal winners Roma 1960,"Balance Beam, Women",Eva Bosáková-Věchtová,TCH,Larisa Latynina,URS,Sofya Muratova,URS
Medal winners Roma 1960,Athletics,,,,,,
Medal winners Roma 1960,"100 metres, Men",Armin Hary,GER,Dave Sime,USA,Peter Radford,GBR
Medal winners Roma 1960,"200 metres, Men",Livio Berruti,ITA,Les Carney,USA,Abdou Sèye,FRA
Medal winners Roma 1960,"400 metres, Men",Otis Davis,USA,Carl Kaufmann,GER,Malcolm Spence,RSA
Medal winners Roma 1960,"800 metres, Men",Peter Snell,NZL,Roger Moens,BEL,George Kerr,WIF
Medal winners Roma 1960,"1,500 metres, Men",Herb Elliott,AUS,Michel Jazy,FRA,István Rózsavölgyi,HUN
Medal winners Roma 1960,"5,000 metres, Men",Murray Halberg,NZL,Hans Grodotzki,GER,Kazimierz Zimny,POL
Medal winners Roma 1960,"10,000 metres, Men",Pyotr Bolotnikov,URS,Hans Grodotzki,GER,Dave Power,AUS
Medal winners Roma 1960,"Marathon, Men",Abebe Bikila,ETH,Rhadi Ben Abdesselam,MAR,Barry Magee,NZL
Medal winners Roma 1960,"110 metres Hurdles, Men",Lee Calhoun,USA,Willie May,USA,Hayes Jones,USA
Medal winners Roma 1960,"400 metres Hurdles, Men",Glenn Davis,USA,Cliff Cushman,USA,Dick Howard,USA
Medal winners Roma 1960,"3,000 metres Steeplechase, Men",Zdzisław Krzyszkowiak,POL,Nikolay Sokolov,URS,Semyon Rzhishchin,URS
Medal winners Roma 1960,"4 × 100 metres Relay, Men",Unified Team of Germany,GER,Soviet Union,URS,Great Britain,GBR
Medal winners Roma 1960,"4 × 400 metres Relay, Men",United States,USA,Unified Team of Germany,GER,West Indies Federation,WIF
Medal winners Roma 1960,"20 kilometres Race Walk, Men",Vladimir Golubnichy,URS,Noel Freeman,AUS,Stan Vickers,GBR
Medal winners Roma 1960,"50 kilometres Race Walk, Men",Don Thompson,GBR,John Ljunggren,SWE,Abdon Pamich,ITA
Medal winners Roma 1960,"High Jump, Men",Robert' Shavlaq'adze,URS,Valery Brumel,URS,John Thomas,USA
Medal winners Roma 1960,"Pole Vault, Men",Don Bragg,USA,Ron Morris,USA,Eeles Landström,FIN
Medal winners Roma 1960,"Long Jump, Men",Ralph Boston,USA,Bo Roberson,USA,Igor Ter-Ovanesyan,URS
Medal winners Roma 1960,"Triple Jump, Men",Józef Szmidt,POL,Vladimir Goryayev,URS,Vitold Kreyer,URS
Medal winners Roma 1960,"Shot Put, Men",Bill Nieder,USA,Parry O'Brien,USA,Dallas Long,USA
Medal winners Roma 1960,"Discus Throw, Men",Al Oerter,USA,Rink Babka,USA,Dick Cochran,USA
Medal winners Roma 1960,"Hammer Throw, Men",Vasily Rudenkov,URS,Gyula Zsivótzky,HUN,Tadeusz Rut,POL
Medal winners Roma 1960,"Javelin Throw, Men",Viktor Tsybulenko,URS,Walter Krüger,GER,Gergely Kulcsár,HUN
Medal winners Roma 1960,"Decathlon, Men",Rafer Johnson,USA,Yang C. K.,TPE,Vasily Kuznetsov,URS
Medal winners Roma 1960,"100 metres, Women",Wilma Rudolph,USA,Dorothy Hyman,GBR,Giuseppina Leone,ITA
Medal winners Roma 1960,"200 metres, Women",Wilma Rudolph,USA,Jutta Heine,GER,Dorothy Hyman,GBR
Medal winners Roma 1960,"800 metres, Women",Lyudmila Lysenko,URS,Brenda Jones,AUS,Ulla Donath,GER
Medal winners Roma 1960,"80 metres Hurdles, Women",Irina Press,URS,Carole Quinton,GBR,Gisela Birkemeyer,GER
Medal winners Roma 1960,"4 × 100 metres Relay, Women",United States,USA,Unified Team of Germany,GER,Poland,POL
Medal winners Roma 1960,"High Jump, Women",Iolanda Balaș,ROU,Dorothy ShirleyJarosława Jóźwiakowska,GBRPOL,—,—
Medal winners Roma 1960,"Long Jump, Women",Vera Krepkina,URS,Elżbieta Krzesińska,POL,Hildrun Claus,GER
Medal winners Roma 1960,"Shot Put, Women",Tamara Press,URS,Johanna Lüttge,GER,Earlene Brown,USA
Medal winners Roma 1960,"Discus Throw, Women",Nina Romashkova-Ponomaryova,URS,Tamara Press,URS,Lia Manoliu,ROU
Medal winners Roma 1960,"Javelin Throw, Women",Elvīra Ozoliņa,URS,Dana Zátopková,TCH,Birutė Kalėdienė,URS
Medal winners Roma 1960,Basketball,,,,,,
Medal winners Roma 1960,"Basketball, Men",United States,USA,Soviet Union,URS,Brazil,BRA
Medal winners Roma 1960,Boxing,,,,,,
Medal winners Roma 1960,"Flyweight, Men",Gyula Török,HUN,Sergey Sivko,URS,Kiyoshi TanabeAbdel Moneim El-Gindy,JPNUAR
Medal winners Roma 1960,"Bantamweight, Men",Oleg Grigoryev,URS,Primo Zamparini,ITA,Ollie TaylorBrunon Bendig,AUSPOL
Medal winners Roma 1960,"Featherweight, Men",Francesco Musso,ITA,Jerzy Adamski,POL,Jorma LimmonenWilliam Meyers,FINRSA
Medal winners Roma 1960,"Lightweight, Men",Kazimierz Paździor,POL,Sandro Lopopolo,ITA,Abel LaudonioDick McTaggart,ARGGBR
Medal winners Roma 1960,"Light-Welterweight, Men",Bohumil Němeček,TCH,Ike Quartey,GHA,Marian KasprzykQuincey Daniels,POLUSA
Medal winners Roma 1960,"Welterweight, Men",Nino Benvenuti,ITA,Yury Radonyak,URS,Jim LloydLech Drogosz,GBRPOL
Medal winners Roma 1960,"Light-Middleweight, Men",Wilbert McClure,USA,Carmelo Bossi,ITA,Billy FisherBoris Lagutin,GBRURS
Medal winners Roma 1960,"Middleweight, Men",Eddie Crook,USA,Tadeusz Walasek,POL,Ion MoneaYevgeny Feofanov,ROUURS
Medal winners Roma 1960,"Light-Heavyweight, Men",Cassius Clay,USA,Zbigniew Pietrzykowski,POL,Tony MadiganGiulio Saraudi,AUSITA
Medal winners Roma 1960,"Heavyweight, Men",Franco De Piccoli,ITA,Daan Bekker,RSA,Günter SiegmundJosef Němec,GERTCH
Medal winners Roma 1960,Canoe Sprint,,,,,,
Medal winners Roma 1960,"Kayak Singles, 1,000 metres, Men",Erik Hansen,DEN,Imre Szöllősi,HUN,Gert Fredriksson,SWE
Medal winners Roma 1960,"Kayak Doubles, 1,000 metres, Men",Sweden,SWE,Hungary,HUN,Poland,POL
Medal winners Roma 1960,"Kayak Relay, 4 × 500 metres, Men",Unified Team of Germany,GER,Hungary,HUN,Denmark,DEN
Medal winners Roma 1960,"Canadian Singles, 1,000 metres, Men",János Parti,HUN,Aleksandr Silayev,URS,Leon Rotman,ROU
Medal winners Roma 1960,"Canadian Doubles, 1,000 metres, Men",Soviet Union,URS,Italy,ITA,Hungary,HUN
Medal winners Roma 1960,"Kayak Singles, 500 metres, Women",Antonina Seredina,URS,Therese Zenz,GER,Daniela Walkowiak,POL
Medal winners Roma 1960,"Kayak Doubles, 500 metres, Women",Soviet Union,URS,Unified Team of Germany,GER,Hungary,HUN
Medal winners Roma 1960,Cycling Road,,,,,,
Medal winners Roma 1960,"Road Race, Individual, Men",Viktor Kapitonov,URS,Livio Trapè,ITA,Willy Vanden Berghen,BEL
Medal winners Roma 1960,"100 kilometres Team Time Trial, Men",Italy,ITA,Unified Team of Germany,GER,Soviet Union,URS
Medal winners Roma 1960,Cycling Track,,,,,,
Medal winners Roma 1960,"Sprint, Men",Sante Gaiardoni,ITA,Leo Sterckx,BEL,Valentino Gasparella,ITA
Medal winners Roma 1960,"1,000 metres Time Trial, Men",Sante Gaiardoni,ITA,Dieter Gieseler,GER,Rostislav Vargashkin,URS
Medal winners Roma 1960,"Tandem Sprint, 2,000 metres, Men",Italy,ITA,Unified Team of Germany,GER,Soviet Union,URS
Medal winners Roma 1960,"Team Pursuit, 4,000 metres, Men",Italy,ITA,Unified Team of Germany,GER,Soviet Union,URS
Medal winners Roma 1960,Diving,,,,,,
Medal winners Roma 1960,"Springboard, Men",Gary Tobian,USA,Sam Hall,USA,Juan Botella,MEX
Medal winners Roma 1960,"Platform, Men",Bob Webster,USA,Gary Tobian,USA,Brian Phelps,GBR
Medal winners Roma 1960,"Springboard, Women",Ingrid Krämer,GER,Paula Jean Pope,USA,Liz Ferris,GBR
Medal winners Roma 1960,"Platform, Women",Ingrid Krämer,GER,Paula Jean Pope,USA,Ninel Krutova,URS
Medal winners Roma 1960,Equestrian Dressage,,,,,,
Medal winners Roma 1960,"Individual, Open",Sergey Filatov,URS,Gustav Fischer,SUI,Josef Neckermann,GER
Medal winners Roma 1960,Equestrian Eventing,,,,,,
Medal winners Roma 1960,"Individual, Men",Laurie Morgan,AUS,Neale Lavis,AUS,Toni Bühler,SUI
Medal winners Roma 1960,"Team, Men",Australia,AUS,Switzerland,SUI,France,FRA
Medal winners Roma 1960,Equestrian Jumping,,,,,,
Medal winners Roma 1960,"Individual, Open",Raimondo D'Inzeo,ITA,Piero D'Inzeo,ITA,David Broome,GBR
Medal winners Roma 1960,"Team, Open",Unified Team of Germany,GER,United States,USA,Italy,ITA
Medal winners Roma 1960,Fencing,,,,,,
Medal winners Roma 1960,"Foil, Individual, Men",Viktor Zhdanovich,URS,Yury Sisikin,URS,Albie Axelrod,USA
Medal winners Roma 1960,"Foil, Team, Men",Soviet Union,URS,Italy,ITA,Unified Team of Germany,GER
Medal winners Roma 1960,"Épée, Individual, Men",Giuseppe Delfino,ITA,Allan Jay,GBR,Bruno Habārovs,URS
Medal winners Roma 1960,"Épée, Team, Men",Italy,ITA,Great Britain,GBR,Soviet Union,URS
